DatoTid	Temperatur	Luftfugtighed	Afstand	Lys
Dato	Tid	Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	Lys intensitet (0-100)
2024-03-11T15:42:16	23.00	47.00	119	52
2024-03-11T15:42:24	23.00	47.00	120	29
2024-03-11T15:42:32	23.00	46.00	121	30
2024-03-11T15:42:40	23.00	45.00	119	29
2024-03-11T15:42:49	23.00	44.00	122	29
2024-03-11T15:42:57	23.00	43.00	21	30
2024-03-11T15:44:07	23.00	43.00	0	28
Dato	Tid	Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	Lys intensitet (0-100)
2000-00-00T00:00:00	23.00	44.00	142	52
2000-00-00T00:00:00	23.00	43.00	57	30
2000-00-00T00:00:00	23.00	43.00	53	29
2000-00-00T00:00:00	23.00	43.00	121	30
2000-00-00T00:00:00	23.00	43.00	123	30
2000-00-00T00:00:00	23.00	42.00	120	29
2000-00-00T00:00:00	23.00	42.00	120	29
2000-00-00T00:00:00	23.00	42.00	121	30
2000-00-00T00:00:00	23.00	43.00	14	29
2000-00-00T00:00:00	23.00	43.00	46	30
2000-00-00T00:00:00	23.00	44.00	120	30
2000-00-00T00:00:00	23.00	45.00	119	29
2024-03-11T15:46:28	23.00	46.00	121	29
Dato	Tid	Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	Lys intensitet (0-100)
Dato	Tid	Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	Lys intensitet (0-100)
2000-00-00T00:00:00	23.00	44.00	119	52
2000-00-00T00:00:00	23.00	44.00	119	29
2000-00-00T00:00:00	23.00	43.00	119	29
2000-00-00T00:00:00	23.00	42.00	121	30
2000-00-00T00:00:00	23.00	42.00	121	30
2000-00-00T00:00:00	23.00	41.00	121	30
2000-00-00T00:00:00	23.00	40.00	123	30
2000-00-00T00:00:00	23.00	40.00	121	29
2000-00-00T00:00:00	23.00	40.00	120	29
2000-00-00T00:00:00	23.00	40.00	121	28
2000-00-00T00:00:00	23.00	40.00	121	29
2000-00-00T00:00:00	23.00	40.00	121	29
2000-00-00T00:00:00	23.00	41.00	123	29
2000-00-00T00:00:00	23.00	42.00	123	28
2000-00-00T00:00:00	23.00	43.00	122	29
2000-00-00T00:00:00	23.00	44.00	122	29
2000-00-00T00:00:00	23.00	45.00	120	29
2000-00-00T00:00:00	23.00	45.00	122	28
2000-00-00T00:00:00	23.00	46.00	122	29
2000-00-00T00:00:00	23.00	46.00	122	29
2000-00-00T00:00:00	23.00	46.00	120	28
2000-00-00T00:00:00	23.00	46.00	122	28
2000-00-00T00:00:00	23.00	46.00	121	29
2000-00-00T00:00:00	23.00	46.00	121	28
2000-00-00T00:00:00	23.00	47.00	122	28
2000-00-00T00:00:00	23.00	47.00	121	29
2000-00-00T00:00:00	23.00	47.00	119	29
2000-00-00T00:00:00	23.00	47.00	120	29
2000-00-00T00:00:00	23.00	47.00	123	30
2000-00-00T00:00:00	23.00	47.00	123	30
2000-00-00T00:00:00	23.00	48.00	121	30
2000-00-00T00:00:00	23.00	48.00	122	30
2000-00-00T00:00:00	23.00	48.00	121	28
2024-03-11T15:52:17	23.00	48.00	120	27
2000-00-00T00:00:00	23.00	48.00	120	29
2000-00-00T00:00:00	23.00	48.00	121	30
2000-00-00T00:00:00	23.00	48.00	120	29
2000-00-00T00:00:00	23.00	47.00	120	30
2000-00-00T00:00:00	23.00	46.00	120	30
2000-00-00T00:00:00	23.00	45.00	120	30
Dato	Tid	Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	Lys intensitet (0-100)
Dato	Tid	Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	Lys intensitet (0-100)
2000-00-00T00:00:00	23.00	45.00	119	84
2000-00-00T00:00:00	23.00	45.00	121	84
2000-00-00T00:00:00	23.00	45.00	119	84
2000-00-00T00:00:00	23.00	45.00	120	84
2000-00-00T00:00:00	23.00	44.00	121	84
2000-00-00T00:00:00	23.00	44.00	120	84
2000-00-00T00:00:00	23.00	45.00	120	84
2000-00-00T00:00:00	23.00	45.00	122	84
2000-00-00T00:00:00	23.00	46.00	121	84
2000-00-00T00:00:00	23.00	47.00	122	84
2000-00-00T00:00:00	23.00	48.00	121	84
2000-00-00T00:00:00	23.00	48.00	121	84
2000-00-00T00:00:00	23.00	48.00	121	84
2000-00-00T00:00:00	23.00	48.00	121	84
2000-00-00T00:00:00	23.00	48.00	120	84
